Time_(min) Drawdown_ft
0.165 0.12
0.25 0.195
0.34 0.255
0.42 0.33
0.5 0.39
0.58 0.43
0.66 0.49
0.75 0.53
0.83 0.57
0.92 0.61
1 0.64
1.08 0.67
1.16 0.7
1.24 0.72
1.33 0.74
1.42 0.76
1.5 0.78
1.68 0.82
1.85 0.84
2 0.86
2.15 0.87
2.35 0.9
2.5 0.91
2.65 0.92
2.8 0.93
3 0.94
3.5 0.95
4 0.97
4.5 0.975
5 0.98
6 0.99
7 1
8 1.1
9 1.015
10 1.02
12 1.03
15 1.04
18 1.05
20 1.06
25 1.08
30 1.13
35 1.15
40 1.17
50 1.19
60 1.22
70 1.25
80 1.28
90 1.29
100 1.31
120 1.36
150 1.45
200 1.52
250 1.59
300 1.65
350 1.7
400 1.75
500 1.85
600 1.95
700 2.01
800 2.09
900 2.15
1000 2.2
1200 2.27
1500 2.35
2000 2.49
2500 2.59
3000 2.66
